name,lat,lon,height
Ben Nevis,56.7968582,-5.0035260,1345.0
Càrn Mòr Dearg,56.8052539,-4.9866573,1220.0
Ben More,56.3860093,-4.5400634,1174.0
Stob Dearg,56.6468537,-4.8987627,1021.0
Càrn Dearg Meadhonach,56.8097631,-4.9893613,1180.0
Ben Lomond,56.1903623,-4.6332874,974.0
Sgor nam Fiannaidh,56.6793935,-5.0371437,967.0
Stob Coire Leith,56.6813612,-5.0227958,938.0
Ben Lui,56.3969764,-4.8105690,1130.0
Beinn a' Chleibh,56.3902442,-4.8356421,916.0
Ben Chonzie,56.4538846,-3.9920844,931.0
Cairn Gorm,57.1167690,-3.6444857,1244.0
Braeriach,57.0781682,-3.7288293,1296.0
Stob Coire an t-Sneachda,57.1066883,-3.6590658,1176.0
Ben Macdui,57.0703889,-3.6691251,1309.0
Cairn Toul,57.0543880,-3.7107019,1291.0
Sgor an Lochain Uaine,57.0583426,-3.7257268,1258.0
Aonach Mòr,56.8129504,-4.9617416,1221.0
Aonach Beag,56.7999773,-4.9541724,1234.0
Ben Lawers,56.5449045,-4.2208744,1214.0
Beinn Ghlas,56.5360003,-4.2370429,1103.0
Beinn Eunaich,56.4501173,-5.0264833,989.0
Beinn Dorain,56.5028441,-4.7221593,1076.0
Beinn an Dothaidh,56.5301376,-4.7139896,1004.0
Stùc a' Chroin,56.3292563,-4.2375474,975.0
Stob Bàn,56.7440062,-5.0305154,999.0
Am Bodach,56.7417441,-4.9833493,1032.0
An Gearanach,56.7592162,-4.9662402,982.0
Na Gruagaichean,56.7436810,-4.9399281,1056.0
Binnein Mor,56.7544245,-4.9258171,1130.0
Sgùrr Eilde Mòr,56.7499706,-4.8954275,1010.0
Gulvain,56.9362239,-5.2845447,987.0
Sgùrr Thuilm,56.9370302,-5.3891781,963.0
Sgùrr nan Coireachan,56.9357219,-5.4485532,955.0
Stob a' Choire Mheadhoin,56.8233896,-4.7609130,1105.0
Stob Coire Easain,56.8181909,-4.7737270,1115.0
Stob Choire Claurigh,56.8237914,-4.8498558,1177.0
Stob Bàn,56.8106697,-4.8409103,977.0
Sgùrr Choinnich Mòr,56.8004299,-4.9040088,1094.0
Stob Coire an Laoigh,56.8109037,-4.8848781,1117.0
Meall Dearg,56.6808731,-5.0028832,953.0
Stob Dubh,56.6383410,-4.9706851,958.0
Stob Coire Raineach,56.6499286,-4.9516080,925.0
Sgorr Dhonuill,56.6504880,-5.1979980,1001.0
Sgorr Dhearg,56.6539309,-5.1715514,1024.0
Beinn Fhionnlaidh,56.6010358,-5.1048871,959.0
Sgùrr na h-Ulaidh,56.6197971,-5.0800660,994.0
Beinn Sgulaird,56.5663690,-5.1707061,937.0
Stob Coire Sgriodain,56.8313019,-4.6950358,979.0
Chno Dearg,56.8300810,-4.6608752,1046.0
Beinn Eibhinn,56.8259432,-4.5445368,1102.0
Aonach Beag,56.8334981,-4.5292080,1116.0
Geal-Chàrn,56.8378511,-4.5097197,1132.0
Carn Dearg,56.8552108,-4.4547533,1034.0
Beinn a' Chlachair,56.8695346,-4.5096351,1087.0
Creag Pitridh,56.8997277,-4.4849470,924.0
Geal Chàrn,56.8977787,-4.4571979,1049.0
Ben Alder,56.8138162,-4.4650482,1148.0
Beinn Bheoil,56.8132828,-4.4306878,1019.0
Beinn Teallach,56.9359660,-4.6947333,914.6
Beinn a' Chaorainn,56.9286189,-4.6536391,1052.0
Ladhar Bheinn,57.0752795,-5.5916930,1020.0
Meall Buidhe,57.0315778,-5.5463111,946.0
Luinne Bheinn,57.0490584,-5.5158336,939.0
Sgùrr na Cìche,57.0134604,-5.4569144,1040.0
Garbh Chìoch Mhòr,57.0086057,-5.4452584,1013.0
Sgùrr nan Coireachan,57.0071498,-5.4047002,953.0
Sròn a' Choire Ghairbh,57.0078532,-4.9287093,937.0
Meall na Teanga,56.9885015,-4.9309213,918.0
Creag a' Mhaim,57.1209805,-5.1600980,947.0
Druim Shionnach,57.1268047,-5.1828430,987.0
Aonach air Chrith,57.1245820,-5.2212070,1021.0
Maol Chinn-dearg,57.1275298,-5.2527381,981.0
Sgurr an Lochain,57.1412342,-5.2975211,1004.0
Creag nan Damh,57.1472943,-5.3350112,918.0
