station_name,station_lat,station_lon,munro_name,munro_lat,munro_lon,distance_km
Beauly,57.4783020,-4.4699354,Ben Wyvis - Glas Leathad Mòr,57.6789840,-4.5792334,23.29
Beauly,57.4783020,-4.4699354,An Cabar,57.6624033,-4.5987200,21.9
Beauly,57.4783020,-4.4699354,An t-Socach,57.6774727,-4.5662804,22.92
Beauly,57.4783020,-4.4699354,Tom a' Chòinnich,57.6935882,-4.5794520,24.86
Beauly,57.4783020,-4.4699354,Sgurr Fuar-thuill,57.4496714,-4.9418278,28.5
Beauly,57.4783020,-4.4699354,Creag Ghorm a' Bhealaich,57.4477906,-4.9267839,27.63
Beauly,57.4783020,-4.4699354,Sgùrr a' Choire Ghlais,57.4435136,-4.9026573,26.26
Beauly,57.4783020,-4.4699354,Càrn nan Gobhar,57.4523118,-4.8799515,24.78
Beauly,57.4783020,-4.4699354,Glas Leathad Beag,57.7005376,-4.5316287,25.02
Beauly,57.4783020,-4.4699354,Sgurr na Ruaidhe,57.4415491,-4.8524614,23.32
Beauly,57.4783020,-4.4699354,Fiaclach,57.7044172,-4.5251179,25.4
Beauly,57.4783020,-4.4699354,Sgurr na Fearstaig,57.4491566,-4.9544932,29.26
Beauly,57.4783020,-4.4699354,Meall nam Bradan Leathan,57.7044504,-4.5246087,25.4
Port Glasgow,55.9333809,-4.6897401,Ben Lomond,56.1903623,-4.6332874,28.83
Branchton,55.9405305,-4.8034053,Ben Lomond,56.1903623,-4.6332874,29.77
Muir of Ord,57.5176683,-4.4602186,Ben Wyvis - Glas Leathad Mòr,57.6789840,-4.5792334,19.32
Muir of Ord,57.5176683,-4.4602186,An Cabar,57.6624033,-4.5987200,18.12
Muir of Ord,57.5176683,-4.4602186,An t-Socach,57.6774727,-4.5662804,18.89
Muir of Ord,57.5176683,-4.4602186,Tom a' Chòinnich,57.6935882,-4.5794520,20.85
Muir of Ord,57.5176683,-4.4602186,Sgurr Fuar-thuill,57.4496714,-4.9418278,29.86
Muir of Ord,57.5176683,-4.4602186,Creag Ghorm a' Bhealaich,57.4477906,-4.9267839,29.05
Muir of Ord,57.5176683,-4.4602186,Sgùrr a' Choire Ghlais,57.4435136,-4.9026573,27.8
Muir of Ord,57.5176683,-4.4602186,Càrn nan Gobhar,57.4523118,-4.8799515,26.21
Muir of Ord,57.5176683,-4.4602186,Glas Leathad Beag,57.7005376,-4.5316287,20.81
Muir of Ord,57.5176683,-4.4602186,Sgurr na Ruaidhe,57.4415491,-4.8524614,25.01
Muir of Ord,57.5176683,-4.4602186,Fiaclach,57.7044172,-4.5251179,21.16
Muir of Ord,57.5176683,-4.4602186,Meall nam Bradan Leathan,57.7044504,-4.5246087,21.16
Dingwall,57.5940372,-4.4222663,Ben Wyvis - Glas Leathad Mòr,57.6789840,-4.5792334,13.32
Dingwall,57.5940372,-4.4222663,An Cabar,57.6624033,-4.5987200,13.0
Dingwall,57.5940372,-4.4222663,An t-Socach,57.6774727,-4.5662804,12.66
Dingwall,57.5940372,-4.4222663,Tom a' Chòinnich,57.6935882,-4.5794520,14.53
Dingwall,57.5940372,-4.4222663,Glas Leathad Beag,57.7005376,-4.5316287,13.54
Dingwall,57.5940372,-4.4222663,Fiaclach,57.7044172,-4.5251179,13.74
Dingwall,57.5940372,-4.4222663,Meall nam Bradan Leathan,57.7044504,-4.5246087,13.73
Alness,57.6944251,-4.2499451,Ben Wyvis - Glas Leathad Mòr,57.6789840,-4.5792334,19.72
Alness,57.6944251,-4.2499451,An Cabar,57.6624033,-4.5987200,21.11
Alness,57.6944251,-4.2499451,An t-Socach,57.6774727,-4.5662804,18.96
Alness,57.6944251,-4.2499451,Tom a' Chòinnich,57.6935882,-4.5794520,19.65
Alness,57.6944251,-4.2499451,Glas Leathad Beag,57.7005376,-4.5316287,16.81
Alness,57.6944251,-4.2499451,Fiaclach,57.7044172,-4.5251179,16.45
Alness,57.6944251,-4.2499451,Meall nam Bradan Leathan,57.7044504,-4.5246087,16.42
Invergordon,57.6890372,-4.1747504,Ben Wyvis - Glas Leathad Mòr,57.6789840,-4.5792334,24.15
Invergordon,57.6890372,-4.1747504,An Cabar,57.6624033,-4.5987200,25.47
Invergordon,57.6890372,-4.1747504,An t-Socach,57.6774727,-4.5662804,23.39
Invergordon,57.6890372,-4.1747504,Tom a' Chòinnich,57.6935882,-4.5794520,24.14
Invergordon,57.6890372,-4.1747504,Glas Leathad Beag,57.7005376,-4.5316287,21.32
Invergordon,57.6890372,-4.1747504,Fiaclach,57.7044172,-4.5251179,20.96
Invergordon,57.6890372,-4.1747504,Meall nam Bradan Leathan,57.7044504,-4.5246087,20.93
Ardgay,57.8815701,-4.3622160,Ben Wyvis - Glas Leathad Mòr,57.6789840,-4.5792334,26.0
Ardgay,57.8815701,-4.3622160,An Cabar,57.6624033,-4.5987200,28.18
Ardgay,57.8815701,-4.3622160,An t-Socach,57.6774727,-4.5662804,25.77
Ardgay,57.8815701,-4.3622160,Tom a' Chòinnich,57.6935882,-4.5794520,24.6
Ardgay,57.8815701,-4.3622160,Glas Leathad Beag,57.7005376,-4.5316287,22.54
Ardgay,57.8815701,-4.3622160,Fiaclach,57.7044172,-4.5251179,21.98
Ardgay,57.8815701,-4.3622160,Meall nam Bradan Leathan,57.7044504,-4.5246087,21.96
Lairg,58.0018896,-4.3998683,Ben Klibreck,58.2351515,-4.4112041,25.99
Garve,57.6131055,-4.6883753,Eididh nan Clach Geala,57.8145200,-4.9354762,26.83
Garve,57.6131055,-4.6883753,Meall nan Ceapraichean,57.7985391,-4.9340758,25.32
Garve,57.6131055,-4.6883753,Beinn Dearg,57.7863890,-4.9297686,24.08
Garve,57.6131055,-4.6883753,Seana Bhràigh,57.8473966,-4.8967898,28.9
Garve,57.6131055,-4.6883753,Cona' Mheall,57.7911105,-4.9034210,23.61
Garve,57.6131055,-4.6883753,Am Faochagach,57.7717981,-4.8538839,20.24
Garve,57.6131055,-4.6883753,Fionn Bheinn,57.6111350,-5.1027016,24.77
Garve,57.6131055,-4.6883753,An Coileachan,57.6675373,-4.9493718,16.73
Garve,57.6131055,-4.6883753,Meall Gorm,57.6808510,-4.9837740,19.19
Garve,57.6131055,-4.6883753,Sgùrr Mòr,57.7001002,-5.0168076,21.87
Garve,57.6131055,-4.6883753,Beinn Liath Mhor Fannaich,57.7060370,-4.9897250,20.75
Garve,57.6131055,-4.6883753,Sgùrr nan Each,57.6810145,-5.0463399,22.67
Garve,57.6131055,-4.6883753,Sgùrr nan Clach Geala,57.6963241,-5.0482628,23.4
Garve,57.6131055,-4.6883753,Meall a' Chrasgaidh,57.7128170,-5.0486740,24.2
Garve,57.6131055,-4.6883753,Sgùrr Breac,57.6921190,-5.0916120,25.63
Garve,57.6131055,-4.6883753,A' Chailleach,57.6938037,-5.1286657,27.78
Garve,57.6131055,-4.6883753,Ben Wyvis - Glas Leathad Mòr,57.6789840,-4.5792334,9.81
Garve,57.6131055,-4.6883753,An Cabar,57.6624033,-4.5987200,7.67
Garve,57.6131055,-4.6883753,An t-Socach,57.6774727,-4.5662804,10.22
Garve,57.6131055,-4.6883753,Tom a' Chòinnich,57.6935882,-4.5794520,11.07
Garve,57.6131055,-4.6883753,Sgurr Fuar-thuill,57.4496714,-4.9418278,23.7
Garve,57.6131055,-4.6883753,Creag Ghorm a' Bhealaich,57.4477906,-4.9267839,23.3
Garve,57.6131055,-4.6883753,Sgùrr a' Choire Ghlais,57.4435136,-4.9026573,22.84
Garve,57.6131055,-4.6883753,Càrn nan Gobhar,57.4523118,-4.8799515,21.27
Garve,57.6131055,-4.6883753,Toman Còinnich,57.6939181,-5.1076408,26.6
Garve,57.6131055,-4.6883753,Glas Leathad Beag,57.7005376,-4.5316287,13.5
Garve,57.6131055,-4.6883753,Meall Gorm SE top,57.6777963,-4.9664278,18.1
Garve,57.6131055,-4.6883753,Carn na Criche,57.7062680,-5.0290233,22.83
Garve,57.6131055,-4.6883753,Sgurr na Ruaidhe,57.4415491,-4.8524614,21.49
Garve,57.6131055,-4.6883753,Fiaclach,57.7044172,-4.5251179,14.09
Garve,57.6131055,-4.6883753,Sgurr na Fearstaig,57.4491566,-4.9544932,24.24
Garve,57.6131055,-4.6883753,Meall nam Bradan Leathan,57.7044504,-4.5246087,14.11
Achnasheen,57.5793199,-5.0721994,Sgurr Fiona,57.8007718,-5.2594507,27.07
Achnasheen,57.5793199,-5.0721994,Bidein a' Ghlas Thuill,57.8071584,-5.2517207,27.54
Achnasheen,57.5793199,-5.0721994,Sgùrr Bàn,57.7185382,-5.2659286,19.34
Achnasheen,57.5793199,-5.0721994,Beinn Tarsuinn,57.7019723,-5.2916583,18.93
Achnasheen,57.5793199,-5.0721994,Ruadh-stac Mòr,57.7268390,-5.3293051,22.48
Achnasheen,57.5793199,-5.0721994,A' Mhaighdean,57.7196694,-5.3467690,22.65
Achnasheen,57.5793199,-5.0721994,Eididh nan Clach Geala,57.8145200,-4.9354762,27.43
Achnasheen,57.5793199,-5.0721994,Meall nan Ceapraichean,57.7985391,-4.9340758,25.77
Achnasheen,57.5793199,-5.0721994,Beinn Dearg,57.7863890,-4.9297686,24.58
Achnasheen,57.5793199,-5.0721994,Cona' Mheall,57.7911105,-4.9034210,25.65
Achnasheen,57.5793199,-5.0721994,Am Faochagach,57.7717981,-4.8538839,25.08
Achnasheen,57.5793199,-5.0721994,Mullach Coire Mhic Fhearchair,57.7090252,-5.2713050,18.71
Achnasheen,57.5793199,-5.0721994,Slioch,57.6670397,-5.3472667,19.12
Achnasheen,57.5793199,-5.0721994,Ruadh-stac Mòr,57.5937429,-5.4294363,21.43
Achnasheen,57.5793199,-5.0721994,Spidean Coire nan Clach,57.5821600,-5.4036409,19.83
Achnasheen,57.5793199,-5.0721994,Fionn Bheinn,57.6111350,-5.1027016,3.99
Achnasheen,57.5793199,-5.0721994,Sgùrr Mòr,57.5908139,-5.5728028,29.97
Achnasheen,57.5793199,-5.0721994,Sgorr Ruadh,57.4986653,-5.4078179,22.02
Achnasheen,57.5793199,-5.0721994,Beinn Liath Mhòr,57.5120656,-5.4006515,21.05
Achnasheen,57.5793199,-5.0721994,Maol Chean-dearg,57.4918824,-5.4655696,25.49
Achnasheen,57.5793199,-5.0721994,An Coileachan,57.6675373,-4.9493718,12.26
Achnasheen,57.5793199,-5.0721994,Meall Gorm,57.6808510,-4.9837740,12.48
Achnasheen,57.5793199,-5.0721994,Sgùrr Mòr,57.7001002,-5.0168076,13.85
Achnasheen,57.5793199,-5.0721994,Beinn Liath Mhor Fannaich,57.7060370,-4.9897250,14.95
Achnasheen,57.5793199,-5.0721994,Sgùrr nan Each,57.6810145,-5.0463399,11.43
Achnasheen,57.5793199,-5.0721994,Sgùrr nan Clach Geala,57.6963241,-5.0482628,13.11
Achnasheen,57.5793199,-5.0721994,Meall a' Chrasgaidh,57.7128170,-5.0486740,14.93
Achnasheen,57.5793199,-5.0721994,Sgùrr Breac,57.6921190,-5.0916120,12.62
Achnasheen,57.5793199,-5.0721994,A' Chailleach,57.6938037,-5.1286657,13.19
Achnasheen,57.5793199,-5.0721994,An Cabar,57.6624033,-4.5987200,29.77
Achnasheen,57.5793199,-5.0721994,Mòruisg,57.4997070,-5.1706291,10.65
Achnasheen,57.5793199,-5.0721994,Maoile Lunndaidh,57.4646057,-5.1108081,12.98
Achnasheen,57.5793199,-5.0721994,Sgurr a' Chaorachain,57.4525536,-5.1893210,15.77
Achnasheen,57.5793199,-5.0721994,Sgùrr Choinnich,57.4510444,-5.2078843,16.44
Achnasheen,57.5793199,-5.0721994,Lurg Mhor,57.4130905,-5.2236546,20.62
Achnasheen,57.5793199,-5.0721994,Bidein a' Choire Sheasgaich,57.4198091,-5.2503147,20.73
Achnasheen,57.5793199,-5.0721994,Sgurr Fuar-thuill,57.4496714,-4.9418278,16.42
Achnasheen,57.5793199,-5.0721994,Creag Ghorm a' Bhealaich,57.4477906,-4.9267839,17.04
Achnasheen,57.5793199,-5.0721994,Sgùrr a' Choire Ghlais,57.4435136,-4.9026573,18.22
Achnasheen,57.5793199,-5.0721994,Càrn nan Gobhar,57.4523118,-4.8799515,18.24
Achnasheen,57.5793199,-5.0721994,Càrn nan Gobhar,57.3633210,-5.0244447,24.23
Achnasheen,57.5793199,-5.0721994,An Riabhachan,57.3624340,-5.1047124,24.23
Achnasheen,57.5793199,-5.0721994,An Socach,57.3502275,-5.1586027,26.04
Achnasheen,57.5793199,-5.0721994,Sgurr an Fhir Dhuibhe,57.5851087,-5.3777798,18.29
Achnasheen,57.5793199,-5.0721994,Sgùrr Bàn,57.5847055,-5.3895382,18.99
Achnasheen,57.5793199,-5.0721994,Sail Mhòr,57.5880107,-5.4512234,22.69
Achnasheen,57.5793199,-5.0721994,Sgurr Tuill Bhain,57.6659986,-5.3235787,17.86
Achnasheen,57.5793199,-5.0721994,Spidean a' Choire Leith,57.5642151,-5.4636172,23.48
Achnasheen,57.5793199,-5.0721994,Mullach an Rathain,57.5609005,-5.4924941,25.23
Achnasheen,57.5793199,-5.0721994,Bidean an Eoin Deirg,57.4495288,-5.1621040,15.43
Achnasheen,57.5793199,-5.0721994,Glas Meall Liath,57.8051340,-5.2368880,27.0
Achnasheen,57.5793199,-5.0721994,Sgurr Dubh,57.7040890,-5.2536436,17.62
Achnasheen,57.5793199,-5.0721994,Toman Còinnich,57.6939181,-5.1076408,12.94
Achnasheen,57.5793199,-5.0721994,Carn nam Fiaclan,57.4608844,-5.1296541,13.63
Achnasheen,57.5793199,-5.0721994,Sgurr Creag an Eich,57.8016927,-5.2737737,27.53
Achnasheen,57.5793199,-5.0721994,Stobh Cadha Gobhlach,57.7910721,-5.2506198,25.87
Achnasheen,57.5793199,-5.0721994,Sail Liath,57.7903802,-5.2457852,25.69
Achnasheen,57.5793199,-5.0721994,Meall Gorm SE top,57.6777963,-4.9664278,12.66
