name,lat,lon
Carluke,55.7311180,-3.8489042
Newton,55.8188409,-4.1335767
Wallyford,55.9404591,-3.0147883
Inverness,57.4802331,-4.2227142
Beauly,57.4783020,-4.4699354
Cupar,56.3172023,-3.0089641
Springfield,56.2949363,-3.0528873
Ladybank,56.2742464,-3.1215949
Edinburgh Park,55.9275510,-3.3077880
Newcraighall,55.9329747,-3.0906705
Port Glasgow,55.9333809,-4.6897401
Branchton,55.9405305,-4.8034053
Paisley Gilmour Street,55.8473867,-4.4242818
Cardonald,55.8526790,-4.3394015
Bishopton,55.9020960,-4.5004927
Wick,58.4417398,-3.0985270
Georgemas Junction,58.5134510,-3.4518611
Thurso,58.5897358,-3.5278692
Altnabreac,58.3881251,-3.7061485
Dalgety Bay,56.0422731,-3.3672490
Aberdour,56.0547554,-3.3009757
Burntisland,56.0573493,-3.2338286
Kinghorn,56.0690940,-3.1744897
Glenrothes with Thornton,56.1622910,-3.1429347
Cardenden,56.1410620,-3.2609812
Lochgelly,56.1348998,-3.3134751
Cowdenbeath,56.1116531,-3.3432863
Dunfermline Queen Margaret,56.0801657,-3.4217706
Dunfermline City,56.0681116,-3.4523618
Rosyth,56.0453763,-3.4263289
Muir of Ord,57.5176683,-4.4602186
Dingwall,57.5940372,-4.4222663
Alness,57.6944251,-4.2499451
Invergordon,57.6890372,-4.1747504
Fearn,57.7781428,-3.9939483
Tain,57.8144887,-4.0521292
Ardgay,57.8815701,-4.3622160
Lairg,58.0018896,-4.3998683
Golspie,57.9715092,-3.9871692
Dunrobin Castle,57.9857817,-3.9473688
Brora,58.0131432,-3.8523419
Helmsdale,58.1177286,-3.6591456
Garve,57.6131055,-4.6883753
Achnasheen,57.5793199,-5.0721994
Stromeferry,57.3522003,-5.5507696
Plockton,57.3335912,-5.6658916
Kyle of Lochalsh,57.2802066,-5.7138678
Boat of Garten,57.2481303,-3.7524586
Broomhill,57.2833838,-3.6670708
Carrbridge,57.2794783,-3.8281892
Dufftown,57.4580974,-3.1310294
Towiemore,57.4964077,-3.0114420
Elgin,57.6427835,-3.3109430
Polmont,55.9844795,-3.7144735
Linlithgow,55.9764096,-3.5957662
Fort William,56.8205581,-5.1053126
Banavie,56.8438007,-5.0958832
Lochailort,56.8814441,-5.6633405
Locheilside,56.8559494,-5.2903646
Loch Eil Outward Bound,56.8553715,-5.1928846
Milngavie,55.9411881,-4.3144686
Hillfoot,55.9203329,-4.3197240
Bearsden,55.9169433,-4.3326044
Cardross,55.9602378,-4.6529670
Craigendoran,55.9948435,-4.7119204
Gretna Green,55.0007556,-3.0663050
Dumfries,55.0727039,-3.6044458
Kelvinhall,55.8710725,-4.2997826
Sanquhar,55.3708161,-3.9245753
Kirkconnel,55.3875092,-3.9988105
New Cumnock,55.4022358,-4.1833546
Auchinleck,55.4698739,-4.2959612
Troon,55.5427424,-4.6555229
Kilmarnock,55.6125595,-4.4994085
Bowling,55.9310584,-4.4931921
Helensburgh Central,56.0038998,-4.7319877
Kelvinbridge,55.8742507,-4.2798542
Hillhead,55.8752091,-4.2932810
Forsinard,58.3568564,-3.8969589
Lochwinnoch,55.7871745,-4.6157219
Spean Bridge,56.8898718,-4.9216232
Cartsdyke,55.9422124,-4.7323622
Bogston,55.9371847,-4.7122765
Woodhall,55.9312843,-4.6557539
Langbank,55.9245747,-4.5861277
Paisley St James,55.8521362,-4.4424438
Hillington West,55.8558618,-4.3710945
Hillington East,55.8542549,-4.3548565
Bellgrove,55.8567027,-4.2243365
Duke Street,55.8586363,-4.2126650
South Gyle,55.9365080,-3.2993662
Paisley Canal,55.8401994,-4.4227621
Greenock Central,55.9452099,-4.7518756
Whinhill,55.9384654,-4.7466578
Argyle Street,55.8576091,-4.2506187
Anderston,55.8597478,-4.2701138
Crossmyloof,55.8337247,-4.2847930
Shawlands,55.8293953,-4.2924269
Thorntonhall,55.7683372,-4.2506988
Giffnock,55.8039361,-4.2929605
Thornliebank,55.8110927,-4.3117061
Williamwood,55.7940114,-4.2899228
Cathcart,55.8177954,-4.2603903
Patterton,55.7905841,-4.3352786
Neilston,55.7828151,-4.4272019
Maxwell Park,55.8376638,-4.2885210
Pollokshields West,55.8376663,-4.2758405
Crookston,55.8422296,-4.3653289
Hawkhead,55.8420771,-4.3995333
Mount Florida,55.8268033,-4.2611049
Ibrox,55.8547050,-4.3048819
Govan,55.8622545,-4.3106225
St Enoch,55.8575955,-4.2551723
Buchanan Street,55.8624334,-4.2534568
Bridge Street,55.8519813,-4.2582198
St George's Cross,55.8711685,-4.2687116
Kinning Park,55.8504067,-4.2881973
West Street,55.8497133,-4.2656724
Shields Road,55.8498240,-4.2752438
Mosspark,55.8406474,-4.3472093
Corkerhill,55.8372522,-4.3339905
Wishaw,55.7722010,-3.9263090
Uddingston,55.8235539,-4.0870466
Cambuslang,55.8194533,-4.1730177
Airbles,55.7820658,-3.9946997
Hamilton West,55.7793567,-4.0554930
Blantyre,55.7972986,-4.0868786
Burnside,55.8169392,-4.2031241
Croftfoot,55.8182468,-4.2282424
Kings Park,55.8195122,-4.2462819
Johnstone,55.8342897,-4.5031136
Howwood,55.8105718,-4.5625091
Glengarnock,55.7390497,-4.6748068
Dalry,55.7060234,-4.7111544
Irvine,55.6112334,-4.6748350
Stevenston,55.6342495,-4.7501074
Ardrossan South Beach,55.6411682,-4.8005743
Ardrossan Town,55.6398834,-4.8125364
Ardrossan Harbour,55.6398277,-4.8208323
West Kilbride,55.6964342,-4.8513782
Fairlie,55.7515354,-4.8531757
Largs,55.7932511,-4.8676241
Maryhill,55.8975029,-4.3011492
Kennishead,55.8134577,-4.3246070
Nitshill,55.8118935,-4.3604363
Pollokshaws East,55.8248032,-4.2871464
Langside,55.8209593,-4.2763033
Crosshill,55.8332590,-4.2566597
Queens Park,55.8353494,-4.2669649
Dunlop,55.7119142,-4.5323997
Stewarton,55.6820232,-4.5181800
Kilmaurs,55.6371026,-4.5305498
Maybole,55.3545688,-4.6858566
Girvan,55.2462778,-4.8480843
Barrhill,55.0973578,-4.7820980
Dumbreck,55.8449511,-4.3007989
Greenock West,55.9472002,-4.7677620
Inverkip,55.9060342,-4.8726993
Wemyss Bay,55.8764602,-4.8894855
Mount Vernon,55.8404655,-4.1326839
Bargeddie,55.8512996,-4.0737519
Baillieston,55.8445129,-4.1137169
Holytown,55.8125640,-3.9734878
Shotts,55.8185654,-3.7990785
Addiewell,55.8434492,-3.6063049
Fauldhouse,55.8224448,-3.7192484
Breich,55.8274751,-3.6675876
Fort Matilda,55.9589194,-4.7952091
Ptarmigan Station,57.1240153,-3.6453886
Dunblane,56.1858372,-3.9657077
Birkhill,55.9932981,-3.6606053
Kirkwood,55.8541741,-4.0482987
Priesthill & Darnley,55.8120349,-4.3429643
Summerston,55.8988407,-4.2921881
Whitecraigs,55.7902824,-4.3103086
Chatelherault,55.7650974,-4.0043023
Larkhall,55.7386059,-3.9750227
Livingston South,55.8716089,-3.5015189
Exhibition Centre,55.8613947,-4.2831967
Gleneagles,56.2749283,-3.7309953
Invergowrie,56.4562504,-3.0578286
Rutherglen,55.8313375,-4.2136804
Base Station,57.1337091,-3.6700967
Sheiling / Middle,57.1276775,-3.6609169
Castlerock,55.1653030,-6.7873526
Ballymoney,55.0664809,-6.5140212
Prestwick International Airport,55.5090011,-4.6141614
Unnamed,57.4606137,-4.2384783
Pollokshields East,55.8407278,-4.2689803
Drumfrochar,55.9411705,-4.7721639
Whifflet,55.8537332,-4.0186263
Kinneil Halt,56.0148224,-3.6256241
Bo'ness,56.0179562,-3.6004981
Prestwick Town,55.5017394,-4.6143864
Portrush,55.2031155,-6.6533861
Dhu Varren,55.1962242,-6.6611895
University,55.1503894,-6.6684074
Newton-on-Ayr,55.4739658,-4.6259790
Drummuir,57.4842317,-3.0390296
Blackridge,55.8843985,-3.7502961
Gorebridge,55.8402696,-3.0467408
Gourock,55.9616159,-4.8156676
Leadhills,55.4113187,-3.7608117
Cameron Bridge,56.1900290,-3.0457235
Coleraine,55.1339557,-6.6626658
Dalmarnock,55.8421847,-4.2174709
Barshaw Central,55.8487724,-4.3963559
Saltcoats,55.6339122,-4.7845685
Shawfair,55.9176966,-3.0902235
Eskbank,55.8812887,-3.0828437
Newtongrange,55.8648238,-3.0689380
Conon Bridge,57.5616288,-4.4403838
Manuel,55.9776784,-3.6575248
Curriehill,55.9006276,-3.3184177
West Calder,55.8537711,-3.5668160
Cleland,55.8044297,-3.9107267
Bellshill,55.8170602,-4.0243322
Merryton,55.7489261,-3.9774372
Carmyle,55.8342637,-4.1580726
Milliken Park,55.8248309,-4.5342076
Kilwinning,55.6561839,-4.7095388
Bishopbriggs,55.9039659,-4.2244495
Easterhouse,55.8598389,-4.1068764
Giant's Causeway,55.2311741,-6.5181690
Bushmills,55.2075906,-6.5298478
Dalmeny,55.9862498,-3.3815031
Markinch,56.2004129,-3.1308024
North Queensferry,56.0124476,-3.3946556
Falkirk High,55.9917417,-3.7925193
Dalmally,56.4009781,-4.9825597
Glengonnar,55.4021592,-3.7694255
Motherwell,55.7918900,-3.9946663
Kingussie,57.0777785,-4.0532894
Kirknewton,55.8889332,-3.4335165
Alexandra Parade,55.8633135,-4.2106057
Blairhill,55.8665156,-4.0427186
Carfin,55.8076817,-3.9560360
Coatbridge Sunnyside,55.8669052,-4.0279569
Cumbernauld,55.9419020,-3.9803047
Hamilton Central,55.7731462,-4.0388235
Hartwood,55.8111759,-3.8389855
Pollokshaws West,55.8238539,-4.3014144
High Street,55.8593458,-4.2399263
Shieldmuir,55.7774241,-3.9578629
Coatbridge Central,55.8626694,-4.0320785
Croy,55.9556386,-4.0361896
Lenzie,55.9213422,-4.1539264
Alloa,56.1179073,-3.7888600
Carstairs,55.6913659,-3.6693685
Damhead Miniature Railway,55.1115126,-6.5975599
Partick,55.8697504,-4.3087568
East Kilbride,55.7659902,-4.1809174
Hairmyres,55.7618249,-4.2298945
Busby,55.7803927,-4.2622278
Bellarena,55.1270333,-6.9510654
Stirling,56.1196512,-3.9342962
Dalmuir,55.9120066,-4.4268526
Kilpatrick,55.9241104,-4.4528360
Westerton,55.9048265,-4.3351335
Drumchapel,55.9047342,-4.3630320
Dumbarton Central,55.9465247,-4.5676104
Dalreoch,55.9472801,-4.5772510
Airdrie,55.8640839,-3.9822547
Hyndland,55.8796122,-4.3144853
Jordanhill,55.8826544,-4.3246367
Anniesland,55.8899452,-4.3215698
Garscadden,55.8875152,-4.3644049
Yoker,55.8927552,-4.3868495
Clydebank,55.9005667,-4.4041552
Scotstounhill,55.8850022,-4.3529637
Springburn,55.8818527,-4.2301653
Greenfaulds,55.9349650,-3.9935101
Helensburgh Upper,56.0124414,-4.7307717
Tulloch,56.8840987,-4.7011350
Kingsknowe,55.9189091,-3.2648569
Slateford,55.9266156,-3.2437460
Wester Hailes,55.9143713,-3.2838201
Rannoch,56.6861502,-4.5769511
Muggles Meet,56.4349395,-3.6483346
Geoff's Halt,56.4353156,-3.6490029
Clarkston,55.7894168,-4.2755195
Forres,57.6111092,-3.6243246
Brunstane,55.9420651,-3.1008498
Edinburgh Gateway,55.9409388,-3.3201335
Nairn,57.5802452,-3.8718304
Glasgow Central,55.8583132,-4.2584361
Glasgow Queen Street,55.8625793,-4.2512371
Haymarket,55.9451838,-3.2193738
Lockerbie,55.1224062,-3.3537892
Cessnock,55.8523711,-4.2949612
Glenfinnan,56.8724380,-5.4493089
Crianlarich,56.3903333,-4.6184447
Taynuilt,56.4308516,-5.2398162
Oban,56.4122069,-5.4745782
Upper Tyndrum,56.4348066,-4.7039393
Corrour,56.7602770,-4.6907677
Bridge of Orchy,56.5163947,-4.7643193
Ardlui,56.3018438,-4.7216053
Garelochhead,56.0802337,-4.8253592
Arrochar and Tarbet,56.2033029,-4.7231172
Blair Atholl,56.7652712,-3.8497055
Dunkeld and Birnam,56.5565771,-3.5775146
Dalwhinnie,56.9351529,-4.2462331
Pitlochry,56.7023642,-3.7356400
Aviemore,57.1882780,-3.8288803
Perth,56.3914751,-3.4383963
Robroyston,55.8868850,-4.1743912
Muirend,55.8101131,-4.2738113
Morar,56.9689555,-5.8220885
Singer,55.9074847,-4.4054997
Mallaig,57.0055416,-5.8302296
Charing Cross,55.8646397,-4.2695777
Bridgeton,55.8483262,-4.2248178
Drumry,55.9045970,-4.3854827
Edinburgh Waverley,55.9519018,-3.1904199
Lanark,55.6735029,-3.7724229
Kirkcaldy,56.1119986,-3.1670545
Kinbrace,58.2585833,-3.9411518
Duncraig,57.3369369,-5.6371138
Attadale,57.3944792,-5.4553960
Invershin,57.9248518,-4.3995831
Kildonan,58.1707751,-3.8690934
Lochluichart,57.6218024,-4.8089907
Culrain,57.9195944,-4.4045280
Scotscalder,58.4828499,-3.5520700
Achnashellach,57.4820352,-5.3333634
Rogart,57.9886311,-4.1582870
Achanalt,57.6096032,-4.9138447
Duirinish,57.3198325,-5.6916167
Tyndrum Lower,56.4336045,-4.7134443
Corpach,56.8427664,-5.1221182
Connel Ferry,56.4524639,-5.3833657
Alexandria,55.9852719,-4.5773243
Loch Awe,56.4018224,-5.0416851
Arisaig,56.9129624,-5.8396337
Falls of Cruachan,56.3940171,-5.1127256
Renton,55.9703118,-4.5863543
Balloch,56.0023629,-4.5832835
Barnhill,55.8777405,-4.2233317
Roy Bridge,56.8883373,-4.8371115
Carntyne,55.8548998,-4.1791751
Garrowhill,55.8550460,-4.1298390
Larbert,56.0221353,-3.8297927
Drumgelloch,55.8676763,-3.9483149
Shettleston,55.8536445,-4.1595853
Gartcosh,55.8856215,-4.0793828
Livingston North,55.9015081,-3.5436081
Coatdyke,55.8644040,-4.0049999
Stepps,55.8901155,-4.1404340
Uphall,55.9190379,-3.5019033
Musselburgh,55.9334479,-3.0724927
Kelvindale,55.8934819,-4.3100800
Bridge of Allan,56.1567462,-3.9572856
Newtonmore,57.0591332,-4.1189471
Beasdale,56.9000736,-5.7639221
Bathgate,55.8971052,-3.6362736
Camelon,56.0062328,-3.8183922
Armadale,55.8865302,-3.6929618
Caldercruix,55.8880483,-3.8887176
Falkirk Grahamston,56.0023684,-3.7854737
Inverkeithing,56.0352386,-3.3954171
Partick,55.8699211,-4.3094365
Ashfield,55.8888403,-4.2484588
Possilpark and Parkhouse,55.8901410,-4.2583527
Cowcaddens,55.8677878,-4.2593895
Clyde Valley Station,55.6940364,-3.8610189
Livingston Mill,55.8852617,-3.5485017
Almondhaugh Halt,55.8847771,-3.5553551
Dumbarton East,55.9423477,-4.5540413
Inverness Airport,57.5333636,-4.0554750
Gilshochill,55.8972756,-4.2824645
Strathcarron,57.4227498,-5.4285637
Barrhead,55.8039857,-4.3971091
Kirkhill,55.8141456,-4.1679698
Barassie,55.5617266,-4.6514783
Ayr,55.4582668,-4.6258275
Leven,56.1924600,-3.0022502
